cbsd_id,cbsd_alias,owner_id,fcc_id,cbsd_serialnumber,cbsd_category,cbsd_status,registration_id,pal_count,gaa_count,unknown_count,longitude,latitude,state_name,county_name,height,height_type,antenna_gain,antenna_azimuth,sfg,srg,grants,org_id,org_name,sub_org_id_0,sub_org_name_0,sub_org_id_1,sub_org_name_1,sub_org_id_2,sub_org_name_2,sub_org_id_3,sub_org_name_3
2AG32MBS3100196N1202000240198TP0032,,LSH3KL,2AG32MBS3100196N,1202000240198TP0032,B,REGISTERED,,,,,-122.139999,37.457092,CA,San Mateo County,12,AGL,19,158,4a5dd397233075ee,4a5dd397233075ee,,LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N120200024020CPY0002,,LSH3KL,2AG32MBS3100196N,120200024020CPY0002,B,AUTHORIZED,GOOG-001773,0,2,0,-122.417919,37.761806,CA,San Francisco County,17,AGL,17,90,4a5dd397233075ee,4a5dd397233075ee,"[{""active"": true, ""grantId"": ""39404933881352984321684516627"", ""maxEirp"": 20, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-20T06:45:09"", ""grantedTimestamp"": ""2023-05-19T17:17:07""}, {""active"": true, ""grantId"": ""155450074653571624231684516627"", ""maxEirp"": 20, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-20T06:45:08"", ""grantedTimestamp"": ""2023-05-19T17:17:07""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N120200024020CPY0130,,LSH3KL,2AG32MBS3100196N,120200024020CPY0130,B,AUTHORIZED,GOOG-001773,0,2,0,-118.297712,34.068656,CA,Los Angeles County,22,AGL,17,90,5a4b144bc9d36bc6,5a4b144bc9d36bc6,"[{""active"": true, ""grantId"": ""167344515914476018981695199663"", ""maxEirp"": 20, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T07:15:25"", ""grantedTimestamp"": ""2023-09-20T08:47:43""}, {""active"": true, ""grantId"": ""121318158173224976721695199663"", ""maxEirp"": 20, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T07:15:25"", ""grantedTimestamp"": ""2023-09-20T08:47:43""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402118Y0208,,LSH3KL,2AG32MBS3100196N,12020002402118Y0208,B,AUTHORIZED,,0,3,0,-122.417923,37.761806,CA,San Francisco County,20,AGL,17,90,,,"[{""active"": true, ""grantId"": ""87085290493991768791684362657"", ""maxEirp"": 37, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T12:01:49"", ""grantedTimestamp"": ""2023-05-17T22:30:57""}, {""active"": true, ""grantId"": ""46639813712367727711684362657"", ""maxEirp"": 37, ""channelIds"": [5], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T12:01:48"", ""grantedTimestamp"": ""2023-05-17T22:30:57""}, {""active"": true, ""grantId"": ""122865922105414253801684362657"", ""maxEirp"": 37, ""channelIds"": [2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T12:04:35"", ""grantedTimestamp"": ""2023-05-17T22:30:57""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402118Y0297,,LSH3KL,2AG32MBS3100196N,12020002402118Y0297,B,AUTHORIZED,GOOG-001773,0,2,0,-122.417923,37.761806,CA,San Francisco County,20,AGL,17,315,4a5dd397233075ee,4a5dd397233075ee,"[{""active"": true, ""grantId"": ""7651451354821118991686217406"", ""maxEirp"": 36, ""channelIds"": [5, 6], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-19T00:38:15"", ""grantedTimestamp"": ""2023-06-08T09:43:26""}, {""active"": true, ""grantId"": ""52996946861577057751686217406"", ""maxEirp"": 36, ""channelIds"": [7, 8], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-19T00:38:15"", ""grantedTimestamp"": ""2023-06-08T09:43:26""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402118Y0297-2,,LSH3KL,2AG32MBS3100196N,12020002402118Y0297-2,B,AUTHORIZED,GOOG-001773,0,2,0,-122.41819,37.76184,CA,San Francisco County,12,AGL,17,315,4a5dd397233075ee,4a5dd397233075ee,"[{""active"": true, ""grantId"": ""150587180975634935391684881875"", ""maxEirp"": 20, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-17T12:33:33"", ""grantedTimestamp"": ""2023-05-23T22:44:35""}, {""active"": true, ""grantId"": ""4639939438996770071684881875"", ""maxEirp"": 20, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-17T12:39:08"", ""grantedTimestamp"": ""2023-05-23T22:44:35""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402118Y0299,,LSH3KL,2AG32MBS3100196N,12020002402118Y0299,B,AUTHORIZED,GOOG-001773,0,2,0,-104.9793,39.760327,CO,Denver County,11,AGL,17,282,565e79d4dc47c662,565e79d4dc47c662,"[{""active"": true, ""grantId"": ""93995370527753984161690503733"", ""maxEirp"": 20, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-19T18:51:21"", ""grantedTimestamp"": ""2023-07-28T00:22:13""}, {""active"": true, ""grantId"": ""129104724821792747671690503733"", ""maxEirp"": 20, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-19T18:51:21"", ""grantedTimestamp"": ""2023-07-28T00:22:13""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402129Y0088,,LSH3KL,2AG32MBS3100196N,12020002402129Y0088,B,AUTHORIZED,GOOG-001773,0,2,0,-118.392499,34.089886,CA,Los Angeles County,18,AGL,17,186,5a4b144bc9d36bc6,5a4b144bc9d36bc6,"[{""active"": true, ""grantId"": ""112688747564994333051692191749"", ""maxEirp"": 20, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T09:10:35"", ""grantedTimestamp"": ""2023-08-16T13:15:49""}, {""active"": true, ""grantId"": ""60182309929572093341692191749"", ""maxEirp"": 20, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T09:13:21"", ""grantedTimestamp"": ""2023-08-16T13:15:49""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402129Y0142,,LSH3KL,2AG32MBS3100196N,12020002402129Y0142,B,AUTHORIZED,GOOG-001773,0,2,0,-118.392499,34.089886,CA,Los Angeles County,18,AGL,17,98,5a4b144bc9d36bc6,5a4b144bc9d36bc6,"[{""active"": true, ""grantId"": ""117192183789368151421691574495"", ""maxEirp"": 9, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T05:14:36"", ""grantedTimestamp"": ""2023-08-09T09:48:15""}, {""active"": true, ""grantId"": ""129067881088181746541691574495"", ""maxEirp"": 9, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T05:14:36"", ""grantedTimestamp"": ""2023-08-09T09:48:15""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
2AG32MBS3100196N12020002402129Y0178,,LSH3KL,2AG32MBS3100196N,12020002402129Y0178,B,AUTHORIZED,GOOG-001773,0,2,0,-118.339376,34.089781,CA,Los Angeles County,18,AGL,17,193,5a4b144bc9d36bc6,5a4b144bc9d36bc6,"[{""active"": true, ""grantId"": ""108930028195944758471695198559"", ""maxEirp"": 20, ""channelIds"": [3, 4], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T06:58:32"", ""grantedTimestamp"": ""2023-09-20T08:29:19""}, {""active"": true, ""grantId"": ""28715065413781108061695198559"", ""maxEirp"": 20, ""channelIds"": [1, 2], ""channelType"": ""GAA"", ""operationState"": ""AUTHORIZED"", ""grantExpireTime"": ""2023-10-18T06:58:32"", ""grantedTimestamp"": ""2023-09-20T08:29:19""}]",LSH3KL,XNET Inc,LSH3KL,XNET Inc,,,,,,
