pass?,rank,up %,radio,gateway,uptime
✅,#1,100.00%,BLiNQ F30A-21150039,overall-ozraraptor-paper-3123,up 14 days 0 minutes
✅,#2,100.00%,Baicells 12020004212217Y0051,rising-kip-wisteria-6430,up 14 days 0 minutes
✅,#3,100.00%,Baicells 12020004212217Y0042,rising-kip-wisteria-6430,up 14 days 0 minutes
✅,#4,100.00%,Baicells 1202000291217RB0786,artistic-climb-timimus-8541,up 14 days 0 minutes
✅,#5,100.00%,BLiNQ F30A-21150042,ultimate-bug-bramble-8214,up 14 days 0 minutes
✅,#6,100.00%,BLiNQ F30A-21130032,fashionable-hare-freesia-8683,up 14 days 0 minutes
✅,#7,100.00%,Baicells 1202000291217RB0732,experimental-glasses-cheek-1777,up 14 days 0 minutes
✅,#8,100.00%,Baicells 120200046421CKY0990,experimental-glasses-cheek-1777,up 14 days 0 minutes
✅,#9,100.00%,Baicells 1202000470221TY0347,juicy-wrench-hub-7443,up 14 days 0 minutes
✅,#10,100.00%,Baicells 1202000291217RB0855,decisive-creek-leader-4008,up 14 days 0 minutes
✅,#11,100.00%,Baicells 1202000291217RB0712,individual-petroleum-aragon-7576,up 14 days 0 minutes
✅,#12,100.00%,Baicells 1202000470221TY0081,ugly-attraction-guardian-0400,up 14 days 0 minutes
✅,#13,100.00%,BLiNQ F30A-21300015,honest-duckling-dance-6157,up 14 days 0 minutes
✅,#14,100.00%,BLiNQ FI03-20380006,temporary-gallimimus-pump-8415,up 14 days 0 minutes
✅,#15,100.00%,BLiNQ F30A-21320006,temporary-gallimimus-pump-8415,up 14 days 0 minutes
✅,#16,100.00%,BLiNQ F30A-21140017,implicit-article-eustoma-2834,up 14 days 0 minutes
✅,#17,100.00%,Baicells 1202000470221TY0429,long-bottom-seed-1500,up 14 days 0 minutes
✅,#18,100.00%,Baicells 1202000240215KY0075,parental-pitcher-zenobia-0115,up 14 days 0 minutes
✅,#19,100.00%,Baicells 1202000395219NB0241,marked-scribe-hair-7732,up 14 days 0 minutes
✅,#20,100.00%,BLiNQ FI03-21020001,electronic-marquess-silene-0866,up 14 days 0 minutes
✅,#21,100.00%,BLiNQ FI03-20460014,protestant-random-william-1573,up 14 days 0 minutes
✅,#22,100.00%,BLiNQ F30A-21150033,protestant-random-william-1573,up 14 days 0 minutes
✅,#23,100.00%,Baicells 12020004212217Y0029,sexual-baseball-jam-2406,up 14 days 0 minutes
✅,#24,100.00%,BLiNQ F30A-21160040,intense-grain-camel-1175,up 14 days 0 minutes
✅,#25,100.00%,BLiNQ F30A-21160039,intense-grain-camel-1175,up 14 days 0 minutes
✅,#26,100.00%,Baicells 12020004212217Y0180,casual-sandwich-drizzle-7672,up 14 days 0 minutes
✅,#27,100.00%,BLiNQ F30A-21160027,spare-wealth-lyric-8565,up 14 days 0 minutes
✅,#28,100.00%,BLiNQ FI03-20420040,spare-wealth-lyric-8565,up 14 days 0 minutes
✅,#29,100.00%,Baicells 1202000470221TY0269,efficient-floor-inspiration-5774,up 3 days 13 hours 0 minutes
✅,#30,99.95%,BLiNQ F30A-21130030,gorgeous-bread-spectroscope-2221,up 13 days 23 hours 50 minutes
✅,#31,99.95%,Baicells 1202000291217RB0584,grieving-tree-princess-8622,up 13 days 23 hours 50 minutes
✅,#32,99.95%,Baicells 1202000291217RB0616,sexual-radio-alley-1053,up 13 days 23 hours 50 minutes
✅,#33,99.95%,Baicells 1202000470221TY0441,historical-phalange-pan-7743,up 13 days 23 hours 50 minutes
✅,#34,99.95%,Baicells 1202000291217RB0529,sharp-marmoset-grin-3827,up 13 days 23 hours 50 minutes
✅,#35,99.95%,Baicells 1202000240217GY0117,international-fiber-currant-3117,up 13 days 23 hours 50 minutes
✅,#36,99.95%,Baicells 12020002402129Y0178,whispering-carver-fragment-7608,up 13 days 23 hours 50 minutes
✅,#37,99.95%,Baicells 12020002402118Y0297,lexical-dead-saturn-6270,up 13 days 23 hours 50 minutes
✅,#38,99.90%,Baicells 1202000470221TY0373,horrible-innovation-dilophosaurus-5871,up 13 days 23 hours 40 minutes
✅,#39,99.90%,Baicells 1202000291217RB0558,quixotic-viscount-radar-0530,up 13 days 23 hours 40 minutes
✅,#40,99.90%,Baicells 12020002402129Y0142,early-blizzard-raven-6800,up 13 days 23 hours 40 minutes
✅,#41,99.90%,BLiNQ F30A-21130010,then-glider-wren-1422,up 13 days 23 hours 40 minutes
✅,#42,99.85%,BLiNQ FI03-20420020,ultimate-bug-bramble-8214,up 13 days 23 hours 30 minutes
✅,#43,99.85%,Baicells 1202000291217RB0798,flexible-hortensia-mail-6855,up 13 days 23 hours 30 minutes
✅,#44,99.85%,Baicells 1202000470221TY0029,ashamed-macaw-cover-4260,up 13 days 23 hours 30 minutes
✅,#45,99.85%,Baicells 1202000291217RB0554,fashionable-dollar-mojoceratops-2336,up 13 days 23 hours 30 minutes
